"SucursalEntradaId","SucursalSalidaId","Nombre","CodigoBarra","Categoria","FechaCaducidad","Marca","Precio","Stock"
"SUC07","SUC07","Leche Tío 45","1000000044","Snacks","2026-10-09","Tío Pelón","20.72","121"
"SUC03","SUC03","Galletas Naturas 46","1000000045","Panaderia","2026-07-19","Pollo Rey","41.93","191"
"SUC04","SUC06","Tortillas Gallo 47","1000000046","Carnes","2026-06-14","Tío Pelón","142.59","94"
"SUC05","SUC01","Pollo Ducal 48","1000000047","Panaderia","2027-11-14","Ducal","63.35","85"
"SUC05","SUC04","Tortillas Naturas 49","1000000048","Carnes","2026-10-19","Ducal","63.88","10"
"SUC03","SUC05","Res Del 50","1000000049","Panaderia","2027-08-15","Naturas","102.97","140"
"SUC04","SUC04","Res Gallo 51","1000000050","Bebidas","2026-05-17","Gallo","96.78","95"
"SUC01","SUC01","Res Pollo 52","1000000051","Carnes","2027-04-26","Pollo Rey","26.37","21"
"SUC02","SUC02","Pan Ríos 53","1000000052","Frutas","2026-08-14","Gallo","88.47","193"
"SUC06","SUC04","Jugo Pollo 54","1000000053","Carnes","2026-02-25","Naturas","36.73","188"
"SUC05","SUC05","Detergente Pollo 55","1000000054","Frutas","2026-08-05","Ríos","72.37","145"
"SUC05","SUC05","Res Naturas 56","1000000055","Panaderia","2027-09-15","Pollo Rey","112.83","131"
"SUC04","SUC02","Manzana Gallo 57","1000000056","Snacks","2027-11-08","Ducal","68.78","192"
"SUC03","SUC04","Galletas Del 58","1000000057","Lacteos","2026-03-08","Naturas","105.62","190"
"SUC02","SUC05","Galletas Del 59","1000000058","Limpieza","2027-01-07","Ríos","65.92","159"
"SUC06","SUC05","Cereal Naturas 60","1000000059","Lacteos","2027-05-25","Naturas","128.75","117"
"SUC05","SUC05","Detergente Ríos 61","1000000060","Panaderia","2026-08-08","Ducal","68.2","17"
"SUC04","SUC07","Res Naturas 62","1000000061","Carnes","2026-08-05","Del Monte","82.45","110"
"SUC05","SUC05","Leche Tío 63","1000000062","Carnes","2027-03-28","Naturas","31.35","76"
"SUC04","SUC05","Galletas Ducal 64","1000000063","Frutas","2027-05-25","Ríos","66.13","30"
"SUC04","SUC06","Leche Ducal 65","1000000064","Bebidas","2026-11-02","Ríos","9.5","73"
"SUC02","SUC02","Pan Pollo 66","1000000065","Bebidas","2026-08-22","Tío Pelón","86.78","65"
"SUC04","SUC04","Res Ducal 67","1000000066","Bebidas","2026-03-10","Tío Pelón","88.91","89"
"SUC05","SUC05","Cereal Naturas 68","1000000067","Carnes","2026-02-19","Gallo","125.43","72"
"SUC01","SUC01","Agua Ríos 69","1000000068","Carnes","2026-10-26","Tío Pelón","55.34","119"
"SUC06","SUC05","Tortillas Ducal 70","1000000069","Lacteos","2027-08-04","Naturas","144.31","172"
"SUC07","SUC07","Queso Naturas 71","1000000070","Bebidas","2027-10-26","Del Monte","117.32","129"
"SUC04","SUC04","Pan Ducal 72","1000000071","Snacks","2026-02-09","Naturas","40.36","128"
"SUC05","SUC05","Cereal Ducal 73","1000000072","Lacteos","2027-06-06","Naturas","35.76","76"
"SUC03","SUC06","Pollo Ducal 74","1000000073","Panaderia","2026-09-07","Tío Pelón","40.0","114"
"SUC04","SUC04","Jugo Gallo 75","1000000074","Limpieza","2027-08-26","Tío Pelón","18.49","66"
"SUC04","SUC04","Agua Gallo 76","1000000075","Panaderia","2027-08-18","Del Monte","54.84","200"
"SUC05","SUC07","Jabon Ducal 77","1000000076","Snacks","2027-04-04","Gallo","32.92","40"
"SUC06","SUC06","Res Gallo 78","1000000077","Bebidas","2026-04-24","Naturas","45.09","160"
"SUC07","SUC07","Agua Tío 79","1000000078","Frutas","2026-05-08","Ducal","31.02","13"
"SUC06","SUC06","Agua Tío 80","1000000079","Lacteos","2027-12-05","Gallo","130.93","135"
"SUC01","SUC01","Pan Ducal 81","1000000080","Limpieza","2027-08-11","Pollo Rey","145.0","74"
"SUC07","SUC07","Manzana Tío 82","1000000081","Limpieza","2027-02-19","Gallo","104.54","48"
"SUC02","SUC02","Agua Tío 83","1000000082","Bebidas","2026-09-25","Naturas","92.92","168"
"SUC02","SUC02","Cereal Naturas 84","1000000083","Limpieza","2027-10-14","Ducal","87.45","25"
"SUC05","SUC05","Yogurt Ríos 85","1000000084","Bebidas","2026-05-22","Tío Pelón","27.77","54"
"SUC05","SUC01","Cereal Naturas 86","1000000085","Carnes","2027-05-02","Pollo Rey","46.78","82"
"SUC06","SUC06","Yogurt Gallo 87","1000000086","Bebidas","2027-11-19","Gallo","121.57","60"
"SUC04","SUC02","Tortillas Pollo 88","1000000087","Snacks","2026-02-02","Pollo Rey","119.93","162"
"SUC06","SUC06","Banano Ducal 89","1000000088","Limpieza","2026-08-23","Ducal","106.46","79"
"SUC05","SUC05","Jabon Tío 90","1000000089","Panaderia","2026-07-24","Ducal","92.54","16"
"SUC01","SUC07","Manzana Ríos 91","1000000090","Panaderia","2026-11-27","Ducal","88.56","54"
"SUC04","SUC04","Jabon Ducal 92","1000000091","Bebidas","2027-11-27","Naturas","145.51","130"
"SUC03","SUC03","Galletas Gallo 93","1000000092","Lacteos","2026-06-14","Gallo","76.84","179"
"SUC04","SUC04","Detergente Tío 94","1000000093","Limpieza","2026-06-09","Ducal","21.81","113"
"SUC07","SUC07","Leche Gallo 95","1000000094","Frutas","2027-07-02","Pollo Rey","80.17","169"
"SUC07","SUC07","Jabon Ríos 96","1000000095","Lacteos","2026-05-18","Pollo Rey","139.51","122"
"SUC06","SUC06","Leche Gallo 97","1000000096","Panaderia","2026-12-06","Ducal","84.87","151"
"SUC04","SUC01","Jabon Tío 98","1000000097","Carnes","2026-08-23","Ducal","78.79","79"
"SUC04","SUC04","Jabon Pollo 99","1000000098","Limpieza","2026-07-07","Del Monte","78.69","44"
"SUC07","SUC04","Galletas Ríos 100","1000000099","Panaderia","2027-01-10","Gallo","48.29","160"
"SUC05","SUC05","Jabon Ríos 101","1000000100","Bebidas","2027-09-16","Ducal","53.2","149"
"SUC04","SUC04","Galletas Ríos 102","1000000101","Bebidas","2026-10-13","Pollo Rey","129.12","115"
"SUC01","SUC05","Pollo Ríos 103","1000000102","Limpieza","2027-11-26","Ríos","99.54","48"
"SUC04","SUC04","Queso Del 104","1000000103","Panaderia","2027-02-28","Ríos","68.84","144"
"SUC04","SUC02","Cereal Ríos 105","1000000104","Carnes","2026-02-16","Ríos","145.53","96"
"SUC05","SUC05","Tortillas Tío 106","1000000105","Frutas","2027-11-28","Del Monte","60.1","91"
"SUC06","SUC06","Res Naturas 107","1000000106","Frutas","2026-10-03","Pollo Rey","96.52","83"
"SUC02","SUC02","Cereal Tío 108","1000000107","Frutas","2026-08-06","Gallo","48.42","17"
"SUC01","SUC02","Agua Ducal 109","1000000108","Snacks","2027-03-08","Del Monte","64.75","184"
"SUC07","SUC02","Yogurt Del 110","1000000109","Frutas","2027-10-22","Pollo Rey","77.16","159"
"SUC02","SUC07","Agua Naturas 111","1000000110","Snacks","2026-08-10","Gallo","84.26","28"
"SUC04","SUC04","Pan Ducal 112","1000000111","Carnes","2027-12-09","Naturas","127.57","60"
"SUC04","SUC04","Yogurt Pollo 113","1000000112","Limpieza","2027-10-10","Gallo","47.81","178"
"SUC04","SUC06","Manzana Gallo 114","1000000113","Frutas","2026-10-24","Naturas","125.76","83"
"SUC07","SUC07","Pan Ríos 115","1000000114","Snacks","2026-11-07","Del Monte","41.34","194"
"SUC07","SUC07","Manzana Pollo 116","1000000115","Carnes","2026-11-21","Tío Pelón","49.8","122"
"SUC01","SUC01","Pollo Pollo 117","1000000116","Lacteos","2027-06-24","Naturas","30.47","43"
"SUC07","SUC07","Galletas Del 118","1000000117","Panaderia","2027-03-09","Ríos","141.91","85"
"SUC06","SUC06","Res Tío 119","1000000118","Limpieza","2026-03-25","Pollo Rey","129.72","195"
"SUC06","SUC06","Manzana Ríos 120","1000000119","Panaderia","2027-02-26","Naturas","7.02","147"
"SUC01","SUC01","Tortillas Gallo 121","1000000120","Carnes","2027-10-13","Ríos","97.59","105"
"SUC01","SUC01","Jabon Tío 122","1000000121","Panaderia","2027-10-08","Gallo","14.17","128"
"SUC06","SUC04","Yogurt Pollo 123","1000000122","Lacteos","2026-05-16","Tío Pelón","19.09","147"
"SUC02","SUC04","Tortillas Gallo 124","1000000123","Carnes","2027-10-24","Gallo","27.41","116"
"SUC06","SUC04","Pan Naturas 125","1000000124","Snacks","2026-12-12","Pollo Rey","69.29","70"
"SUC07","SUC06","Galletas Del 126","1000000125","Carnes","2027-01-13","Ducal","32.52","41"
"SUC07","SUC07","Yogurt Gallo 127","1000000126","Bebidas","2026-01-26","Ducal","40.32","42"
"SUC07","SUC07","Yogurt Ríos 128","1000000127","Frutas","2026-10-07","Ríos","131.11","94"
"SUC07","SUC05","Leche Ducal 129","1000000128","Frutas","2026-03-18","Ducal","120.78","38"
"SUC06","SUC06","Queso Tío 130","1000000129","Snacks","2026-10-11","Tío Pelón","30.27","23"
"SUC02","SUC02","Detergente Tío 131","1000000130","Carnes","2026-08-15","Ríos","57.5","161"
"SUC01","SUC01","Jugo Del 132","1000000131","Lacteos","2027-08-21","Tío Pelón","13.82","132"
"SUC07","SUC07","Tortillas Tío 133","1000000132","Limpieza","2027-02-03","Ducal","93.2","26"
"SUC02","SUC07","Pan Del 134","1000000133","Carnes","2027-07-20","Del Monte","47.76","139"
"SUC05","SUC05","Res Gallo 135","1000000134","Lacteos","2026-07-15","Pollo Rey","65.0","126"
"SUC04","SUC04","Yogurt Ducal 136","1000000135","Limpieza","2027-11-09","Ducal","143.27","185"
"SUC04","SUC01","Yogurt Naturas 137","1000000136","Lacteos","2027-03-18","Tío Pelón","90.04","153"
"SUC05","SUC01","Cereal Ducal 138","1000000137","Frutas","2027-12-02","Ducal","92.06","100"
"SUC01","SUC01","Jugo Pollo 139","1000000138","Carnes","2027-04-28","Tío Pelón","55.77","152"
"SUC03","SUC04","Pan Pollo 140","1000000139","Frutas","2027-09-25","Ríos","95.15","182"
"SUC06","SUC06","Pan Gallo 141","1000000140","Frutas","2027-01-06","Ducal","106.89","89"
"SUC03","SUC02","Manzana Pollo 142","1000000141","Panaderia","2027-02-05","Gallo","96.81","17"
"SUC01","SUC01","Jugo Naturas 143","1000000142","Limpieza","2027-06-06","Ducal","50.19","93"
"SUC07","SUC07","Pan Tío 144","1000000143","Lacteos","2026-03-25","Del Monte","12.22","30"
"SUC03","SUC03","Cereal Naturas 145","1000000144","Panaderia","2027-07-09","Pollo Rey","114.47","39"
"SUC03","SUC03","Agua Gallo 146","1000000145","Carnes","2027-09-22","Ducal","11.59","111"
"SUC05","SUC02","Agua Pollo 147","1000000146","Frutas","2026-05-10","Ducal","22.4","137"
"SUC06","SUC06","Queso Naturas 148","1000000147","Panaderia","2026-09-18","Ríos","101.87","100"
"SUC01","SUC07","Leche Naturas 149","1000000148","Lacteos","2027-02-28","Ducal","88.49","156"
"SUC04","SUC04","Cereal Ducal 150","1000000149","Lacteos","2027-01-11","Pollo Rey","121.19","168"
