"SucursalID","Nombre","CodigoBarra","Categoria","FechaCaducidad","Marca","Precio","Stock","Estado"
"SUC01","Jabon Liquido Clasico","7114223633","Higiene","2025-09-19","Café Rey","119.42","374","Disponible"
"SUC01","Pasta Dental","4700855390","Higiene","2028-06-03","Del Monte","65.92","98","Disponible"
"SUC01","Desodorante Premium","6083042422","Higiene","2025-11-02","Del Monte","118.34","448","Disponible"
"SUC01","Detergente Liquido","2015242176","Limpieza","2026-08-12","Nutrileche","104.57","247","Agotado"
"SUC01","Suavizante","6002078344","Limpieza","2026-11-26","Siembra","5.53","200","Agotado"
"SUC01","Cloro Natural","8380507338","Limpieza","2026-08-20","Rica","42.93","152","Disponible"
"SUC01","Escoba Clasico","1245522987","Hogar","2028-05-23","Nestle","148.12","258","Disponible"
"SUC01","Trapeador Mini","1798112150","Hogar","2026-09-25","Pepsi","150.78","346","Disponible"
"SUC01","Pan Molde Plus","3553440342","Panaderia","2029-02-06","Kern's","156.75","215","Disponible"
"SUC01","Tortillas Natural","8370987661","Panaderia","2026-02-24","Café Rey","63.48","203","Disponible"
"SUC01","Pan Frances Familiar","1311570307","Panaderia","2025-12-22","Dos Pinos","117.28","289","Disponible"
"SUC01","Espagueti Mini","2139027119","Pastas","2025-10-19","Siembra","233.65","452","Disponible"
"SUC01","Macarrones Clasico","2224011538","Pastas","2029-05-11","Colgate","112.36","279","Disponible"
"SUC01","Papas Fritas Mini","3849232839","Snacks","2026-11-24","Dos Pinos","235.04","69","Disponible"
"SUC01","Galletas Saladas Mini","5962610986","Snacks","2029-06-09","Coca-Cola","74.03","108","Disponible"
"SUC01","Chocolate Natural","7465682673","Snacks","2025-09-13","Dos Pinos","66.52","465","Agotado"
"SUC01","Sal Natural","1189351213","Condimentos","2028-12-26","Colgate","86.72","67","Disponible"
"SUC01","Azucar Familiar","1041531046","Condimentos","2029-04-16","Siembra","23.43","453","Disponible"
"SUC01","Pimienta Mini","3373077218","Condimentos","2027-02-22","Coca-Cola","110.3","22","Disponible"
"SUC01","Oregano Clasico","5736462531","Condimentos","2027-09-11","Kern's","196.13","453","Disponible"
"SUC01","Salsa de Tomate Extra","4713453204","Condimentos","2026-05-29","Siembra","244.17","416","Agotado"
"SUC01","Pizza Congelada","9265609985","Congelados","2029-11-29","Café Rey","196.68","211","Disponible"
"SUC01","Helado Vainilla Natural","4011966884","Congelados","2028-01-20","Unilever","98.72","20","Disponible"
"SUC01","Leche Entera Familiar","6796738787","Lacteos","2026-09-10","Unilever","206.03","447","Disponible"
"SUC01","Leche Descremada Extra","7006365648","Lacteos","2029-10-01","Colgate","73.26","36","Disponible"
"SUC01","Queso Fresco Mini 1","7597996327","Lacteos","2026-11-17","Nestle","235.11","60","Disponible"
"SUC01","Yogurt Natural","7161404428","Lacteos","2027-11-11","Kern's","183.49","161","Disponible"
"SUC01","Crema Fresca Premium","6111349421","Lacteos","2025-06-04","La Mejor","15.87","224","Disponible"
"SUC01","Cafe Molido Clasico","2852408227","Bebidas","2027-04-08","Kern's","237.47","472","Disponible"
"SUC01","Cafe Instantaneo Bio","7049001493","Bebidas","2028-07-10","Nestle","103.59","152","Disponible"
"SUC01","Jugo de Naranja Premium","7739255769","Bebidas","2025-06-01","Colgate","104.49","427","Disponible"
"SUC01","Agua Pura Extra","8106906538","Bebidas","2029-03-15","Unilever","118.92","227","Agotado"
"SUC01","Refresco Cola Light 1","3829742424","Bebidas","2028-12-18","Kern's","74.53","340","Disponible"
"SUC01","Arroz Blanco Bio","4226113732","Granos","2029-12-08","Unilever","169.83","116","Disponible"
"SUC01","Frijoles Negros","1198486416","Granos","2029-09-21","Dos Pinos","246.06","313","Agotado"
"SUC01","Lentejas Premium","3472487690","Granos","2028-03-09","Pepsi","180.99","197","Disponible"
"SUC01","Maiz Amarillo Light","2825989011","Granos","2029-04-26","La Mejor","48.09","491","Agotado"
"SUC01","Avena 1","3394039673","Granos","2027-12-22","Nestle","229.78","63","Agotado"
"SUC01","Pollo Entero Mini","7852415525","Carnes","2027-11-24","Kern's","237.76","457","Agotado"
"SUC01","Carne Molida Mini","8995059760","Carnes","2026-10-20","Nutrileche","115.27","385","Disponible"
"SUC01","Salchicha Mini","6322520473","Carnes","2027-01-07","Unilever","112.77","366","Disponible"
"SUC01","Atun en Aceite Clasico","3319936135","Conservas","2027-07-25","Tío Pelón","38.9","119","Disponible"
"SUC01","Sardinas Extra","5570828113","Conservas","2028-01-11","Pepsi","104.86","278","Disponible"
"SUC01","Tomate en Lata Extra","8872207630","Conservas","2028-09-09","Tío Pelón","100.42","395","Disponible"
"SUC01","Aceite Vegetal Plus","6928691380","Aceites","2027-02-02","Miguelito","6.44","181","Agotado"
"SUC01","Aceite de Oliva Premium","4856070374","Aceites","2027-11-10","Del Monte","124.62","140","Disponible"
"SUC01","Mantequilla Premium","1116402431","Lacteos","2028-01-02","Nestle","162.47","70","Disponible"
"SUC01","Margarina Natural","6923206003","Lacteos","2027-04-23","Miguelito","56.86","168","Agotado"
"SUC01","Shampoo Natural","8868054898","Higiene","2028-01-20","Rica","66.81","42","Disponible"
"SUC01","Acondicionador Clasico","2062073697","Higiene","2026-04-09","Unilever","210.61","319","Disponible"
"SUC01","Jabon Liquido Familiar","3875303857","Higiene","2028-01-09","Tío Pelón","143.17","112","Disponible"
"SUC01","Pasta Dental Clasico","4518871744","Higiene","2028-08-29","Rica","241.36","56","Disponible"
"SUC01","Desodorante Plus","9410288290","Higiene","2026-07-12","Dos Pinos","102.18","367","Disponible"
"SUC01","Detergente Liquido Bio","4459716271","Limpieza","2029-10-20","Rica","200.08","290","Disponible"
"SUC01","Suavizante Mini","2591589823","Limpieza","2025-06-26","Nutrileche","128.96","175","Agotado"
"SUC01","Cloro Familiar","5748253283","Limpieza","2027-12-29","Tío Pelón","240.39","326","Disponible"
"SUC01","Escoba Premium","8088660633","Hogar","2028-06-07","Miguelito","155.9","471","Agotado"
"SUC01","Trapeador Familiar","6447717367","Hogar","2025-11-25","Colgate","213.67","426","Agotado"
"SUC01","Pan Molde Extra","8518238399","Panaderia","2027-07-17","Coca-Cola","144.61","343","Disponible"
"SUC01","Tortillas Familiar","8949781901","Panaderia","2027-05-28","Miguelito","49.55","109","Disponible"
"SUC01","Pan Frances Clasico","9074999565","Panaderia","2026-06-27","Dos Pinos","141.17","265","Disponible"
"SUC01","Espagueti Premium","4256292393","Pastas","2029-05-28","Del Monte","174.2","331","Agotado"
"SUC01","Macarrones","5694628398","Pastas","2026-10-12","Colgate","59.29","355","Disponible"
"SUC01","Papas Fritas Familiar","6771394050","Snacks","2027-04-09","Coca-Cola","249.17","282","Agotado"
"SUC01","Galletas Saladas Natural","6611903015","Snacks","2026-06-30","Coca-Cola","61.48","370","Disponible"
"SUC01","Chocolate Mini","3964229896","Snacks","2028-02-17","Colgate","51.93","379","Disponible"
"SUC01","Sal Bio","4576111591","Condimentos","2026-06-03","Colgate","77.58","185","Disponible"
"SUC01","Azucar Mini","5838636972","Condimentos","2028-07-08","Colgate","16.15","28","Disponible"
"SUC01","Pimienta Familiar","9642614082","Condimentos","2027-11-20","Coca-Cola","74.66","246","Disponible"
"SUC01","Oregano","8996039244","Condimentos","2027-08-30","Del Monte","32.95","34","Disponible"
"SUC01","Salsa de Tomate Plus","1230249217","Condimentos","2027-02-13","Dos Pinos","41.55","289","Disponible"
"SUC01","Pizza Congelada Bio","3656086594","Congelados","2027-12-10","Siembra","195.04","195","Agotado"
"SUC01","Helado Vainilla Natural 1","9547119184","Congelados","2025-10-02","Kern's","79.82","318","Disponible"
"SUC01","Leche Entera Extra","3686566602","Lacteos","2026-04-18","Unilever","69.84","42","Disponible"
"SUC01","Leche Descremada Mini 1","1322401182","Lacteos","2029-04-12","Kern's","5.66","231","Agotado"
"SUC01","Queso Fresco Natural","1140187131","Lacteos","2029-05-10","Nutrileche","75.59","145","Agotado"
"SUC01","Yogurt Natural Bio","3952295757","Lacteos","2029-11-07","Café Rey","231.36","404","Disponible"
"SUC01","Crema Fresca Premium 1","1610900200","Lacteos","2027-02-20","Kern's","19.61","406","Disponible"
"SUC01","Cafe Molido Familiar","5829062179","Bebidas","2027-09-03","Colgate","173.73","359","Agotado"
"SUC01","Cafe Instantaneo Familiar","9935429720","Bebidas","2029-07-14","Coca-Cola","14.77","222","Disponible"
"SUC01","Jugo de Naranja","1392245997","Bebidas","2028-08-22","Kern's","240.67","429","Disponible"
"SUC01","Agua Pura Natural","3474961963","Bebidas","2028-01-20","La Mejor","191.96","90","Agotado"
"SUC01","Refresco Cola Natural","7808938880","Bebidas","2025-12-04","Del Monte","160.52","252","Disponible"
"SUC01","Arroz Blanco Premium","6726515966","Granos","2026-04-26","Coca-Cola","169.18","440","Agotado"
"SUC01","Frijoles Negros Familiar","9354542654","Granos","2025-08-15","Del Monte","204.32","282","Disponible"
"SUC01","Lentejas Clasico","6379012098","Granos","2027-09-06","Nutrileche","33.4","396","Disponible"
"SUC01","Maiz Amarillo Mini","7279140605","Granos","2027-06-11","Kern's","18.28","266","Agotado"
"SUC01","Avena Familiar","4264134512","Granos","2026-02-24","Siembra","54.87","282","Disponible"
"SUC01","Pollo Entero Familiar","3081821325","Carnes","2028-10-29","Miguelito","12.07","323","Disponible"
"SUC01","Carne Molida Light","9648665968","Carnes","2026-01-19","Del Monte","104.96","116","Disponible"
"SUC01","Salchicha Light","8372755146","Carnes","2027-09-29","Nutrileche","129.67","140","Agotado"
"SUC01","Atun en Aceite Familiar","6341783555","Conservas","2026-06-26","Siembra","140.06","197","Disponible"
"SUC01","Sardinas Bio","7077131430","Conservas","2026-11-30","Nutrileche","233.89","260","Disponible"
"SUC01","Tomate en Lata Natural","8413332538","Conservas","2029-02-11","Del Monte","210.18","297","Disponible"
"SUC01","Aceite Vegetal Familiar","7608153267","Aceites","2029-09-10","La Mejor","89.56","283","Agotado"
"SUC01","Aceite de Oliva Familiar","9301537234","Aceites","2026-10-03","Kern's","218.05","358","Agotado"
"SUC01","Mantequilla Extra","2764265618","Lacteos","2029-05-15","Siembra","82.95","243","Agotado"
"SUC01","Margarina Premium","5948254671","Lacteos","2028-03-25","Kern's","241.38","65","Disponible"
"SUC01","Shampoo Bio","2891100776","Higiene","2025-07-02","Tío Pelón","133.86","234","Disponible"
"SUC01","Acondicionador Premium","5165932723","Higiene","2026-11-25","Coca-Cola","23.33","401","Agotado"
"SUC01","Jabon Liquido Bio","8953271391","Higiene","2028-05-28","Pepsi","213.82","440","Disponible"
"SUC01","Pasta Dental Familiar","9744120054","Higiene","2029-04-02","Siembra","21.76","324","Disponible"
"SUC01","Desodorante Extra","4207337120","Higiene","2029-09-05","Café Rey","111.32","51","Disponible"
"SUC01","Detergente Liquido Familiar","1124327519","Limpieza","2027-01-22","Coca-Cola","84.47","29","Disponible"
"SUC01","Suavizante Premium","1625217504","Limpieza","2029-03-28","Miguelito","135.14","290","Disponible"
"SUC01","Cloro Light","1751917162","Limpieza","2028-11-21","Café Rey","154.33","196","Disponible"
"SUC01","Escoba Familiar","1614685938","Hogar","2027-12-29","Colgate","117.98","131","Disponible"
"SUC01","Trapeador Familiar 1","9165632300","Hogar","2025-10-30","Del Monte","171.01","81","Disponible"
"SUC01","Pan Molde Plus 1","9426850694","Panaderia","2027-02-09","Unilever","174.13","234","Agotado"
"SUC01","Tortillas Familiar 1","1458072318","Panaderia","2028-08-21","Colgate","98.43","184","Disponible"
"SUC01","Pan Frances","8122042835","Panaderia","2029-04-05","Miguelito","72.25","290","Disponible"
"SUC01","Espagueti Plus","8495457335","Pastas","2027-01-08","Miguelito","209.05","463","Disponible"
"SUC01","Macarrones Plus","8739238825","Pastas","2028-11-23","Colgate","58.66","98","Disponible"
"SUC01","Papas Fritas Bio","3776011793","Snacks","2025-08-08","Kern's","80.69","226","Disponible"
"SUC01","Galletas Saladas Light","6562457052","Snacks","2026-07-17","Nestle","188.13","90","Disponible"
"SUC01","Chocolate Mini 1","6001680218","Snacks","2028-02-12","Miguelito","228.94","484","Disponible"
"SUC01","Sal Clasico","4454152476","Condimentos","2026-03-16","Miguelito","119.74","39","Disponible"
"SUC01","Azucar Premium","2570991899","Condimentos","2026-11-24","La Mejor","198.72","8","Disponible"
"SUC01","Pimienta Familiar 1","2595467139","Condimentos","2025-07-22","Kern's","170.33","242","Disponible"
"SUC01","Oregano Plus","9861449701","Condimentos","2029-05-06","Colgate","206.84","466","Agotado"
"SUC01","Salsa de Tomate Bio","1600337712","Condimentos","2028-03-05","Dos Pinos","236.83","156","Disponible"
"SUC01","Pizza Congelada Extra","5877639950","Congelados","2029-07-31","Tío Pelón","116.14","344","Agotado"
"SUC01","Helado Vainilla Plus","9381721143","Congelados","2026-08-19","Del Monte","13.02","190","Agotado"
"SUC02","Leche Entera Extra 1","8969097897","Lacteos","2027-06-23","La Mejor","29.34","352","Disponible"
"SUC02","Leche Descremada","7004964045","Lacteos","2027-12-19","Dos Pinos","51.5","63","Disponible"
"SUC02","Queso Fresco Plus","5170814022","Lacteos","2026-10-12","Nestle","17.39","171","Disponible"
"SUC02","Yogurt Natural Bio 1","3380304322","Lacteos","2026-09-21","Coca-Cola","148.66","417","Disponible"
"SUC02","Crema Fresca Plus","5307145891","Lacteos","2026-02-22","La Mejor","215.31","75","Disponible"
"SUC02","Cafe Molido Light","4721365350","Bebidas","2029-11-04","Miguelito","37.29","184","Disponible"
"SUC02","Cafe Instantaneo Plus 1","2390587865","Bebidas","2026-02-15","Tío Pelón","47.69","27","Agotado"
"SUC02","Jugo de Naranja Mini","5567946981","Bebidas","2028-04-17","Kern's","114.83","186","Disponible"
"SUC02","Agua Pura Familiar","3163970710","Bebidas","2029-06-29","Miguelito","236.63","23","Disponible"
"SUC02","Refresco Cola Familiar","1133790981","Bebidas","2027-09-01","Pepsi","249.65","434","Disponible"
"SUC02","Arroz Blanco Familiar","2905085701","Granos","2028-10-28","Nestle","225.32","165","Disponible"
"SUC02","Frijoles Negros Light","6691628146","Granos","2027-01-25","Del Monte","248.68","272","Agotado"
"SUC02","Lentejas Bio","4717261214","Granos","2026-09-11","Pepsi","110.37","455","Disponible"
"SUC02","Maiz Amarillo Familiar","7007500393","Granos","2027-10-23","Coca-Cola","183.76","161","Disponible"
"SUC02","Avena Clasico","5095648684","Granos","2025-10-16","Dos Pinos","173.27","243","Disponible"
"SUC02","Pollo Entero Bio","2854895521","Carnes","2029-12-19","Nestle","187.42","191","Disponible"
"SUC02","Carne Molida Plus","7707379050","Carnes","2027-05-26","Nutrileche","169.15","211","Agotado"
"SUC02","Salchicha","9454207717","Carnes","2025-12-30","Kern's","152.1","181","Disponible"
"SUC02","Atun en Aceite Light 1","8115628227","Conservas","2027-05-19","Nutrileche","59.94","56","Disponible"
"SUC02","Sardinas Bio 1","8570333548","Conservas","2027-10-27","Nutrileche","145.65","414","Disponible"
"SUC02","Tomate en Lata Plus","2148679234","Conservas","2029-09-09","Colgate","49.2","360","Disponible"
"SUC02","Aceite Vegetal Clasico","1026224160","Aceites","2029-02-06","Pepsi","218.12","290","Disponible"
"SUC02","Aceite de Oliva Light","5173893550","Aceites","2026-08-15","Pepsi","27.48","272","Agotado"
"SUC02","Mantequilla Familiar","2464137110","Lacteos","2027-03-27","Miguelito","95.66","370","Disponible"
"SUC02","Margarina 1","1668210614","Lacteos","2029-03-12","Dos Pinos","189.84","26","Disponible"
"SUC02","Shampoo Familiar","8137972345","Higiene","2027-09-27","Colgate","123.99","227","Disponible"
"SUC02","Acondicionador Mini","5783809766","Higiene","2029-03-20","Café Rey","110.33","146","Agotado"
"SUC02","Jabon Liquido Mini","8160279830","Higiene","2028-10-10","Rica","16.13","203","Disponible"
"SUC02","Pasta Dental Extra","6392415228","Higiene","2028-03-15","Tío Pelón","85.39","4","Agotado"
"SUC02","Desodorante Light","5849815676","Higiene","2028-03-21","La Mejor","135.48","118","Disponible"
"SUC02","Detergente Liquido Bio 1","4187043237","Limpieza","2025-11-07","Nutrileche","111.87","236","Disponible"
"SUC02","Suavizante Plus","8044354825","Limpieza","2025-07-13","Coca-Cola","75.93","208","Disponible"
"SUC02","Cloro Plus","2554145481","Limpieza","2026-10-12","Pepsi","111.99","55","Agotado"
"SUC02","Escoba Mini","5632753983","Hogar","2027-04-27","Unilever","218.28","382","Disponible"
"SUC02","Trapeador Light","9917981516","Hogar","2028-04-10","Unilever","160.14","272","Disponible"
"SUC02","Pan Molde Clasico","4500557310","Panaderia","2026-11-07","Unilever","62.89","75","Disponible"
"SUC02","Tortillas Plus","1323639855","Panaderia","2028-03-08","Del Monte","238.07","322","Agotado"
"SUC02","Pan Frances Plus","2357806226","Panaderia","2027-11-23","Café Rey","112.74","241","Disponible"
"SUC02","Espagueti Natural","3540128512","Pastas","2027-02-26","Del Monte","91.23","38","Agotado"
"SUC02","Macarrones 1","5539308214","Pastas","2029-01-11","Nutrileche","208.77","40","Disponible"
"SUC02","Papas Fritas Plus","6946306973","Snacks","2029-11-08","Tío Pelón","147.18","489","Disponible"
"SUC02","Galletas Saladas Familiar","6103449651","Snacks","2026-04-05","Rica","153.23","257","Agotado"
"SUC02","Chocolate Bio","8891474909","Snacks","2028-03-30","Café Rey","245.68","44","Disponible"
"SUC02","Sal","5976777081","Condimentos","2027-08-03","Pepsi","96.35","145","Disponible"
"SUC02","Azucar Plus","2437308013","Condimentos","2029-03-21","Pepsi","85.77","286","Disponible"
"SUC02","Pimienta Natural","4750707607","Condimentos","2029-02-19","Nestle","86.67","299","Disponible"
"SUC02","Oregano Natural","2683446724","Condimentos","2025-11-21","Colgate","150.79","481","Agotado"
"SUC02","Salsa de Tomate Clasico","4492602049","Condimentos","2029-07-23","Café Rey","169.18","425","Disponible"
"SUC02","Pizza Congelada Premium","7478908722","Congelados","2026-06-05","Unilever","9.47","159","Disponible"
"SUC02","Helado Vainilla Familiar","1824656200","Congelados","2025-11-06","Colgate","249.99","80","Disponible"
"SUC02","Leche Entera Mini","9752058817","Lacteos","2028-11-17","Nestle","87.51","393","Agotado"
"SUC02","Leche Descremada Light","1696846464","Lacteos","2028-12-01","Miguelito","208.68","395","Disponible"
"SUC02","Queso Fresco Familiar","5482624860","Lacteos","2026-09-30","Del Monte","94.25","369","Disponible"
"SUC02","Yogurt Natural Familiar","6322188162","Lacteos","2028-01-17","Siembra","241.57","402","Disponible"
"SUC02","Crema Fresca Clasico","7187318744","Lacteos","2027-07-23","La Mejor","193.51","399","Agotado"
"SUC02","Cafe Molido Light 1","4508521152","Bebidas","2026-10-26","Rica","201.31","71","Agotado"
"SUC02","Cafe Instantaneo Clasico","4655730355","Bebidas","2026-04-25","Colgate","74.84","391","Agotado"
"SUC02","Jugo de Naranja Mini 1","2878930355","Bebidas","2029-12-29","Del Monte","236.87","114","Disponible"
"SUC02","Agua Pura","2781968664","Bebidas","2026-09-26","Pepsi","102.13","192","Disponible"
"SUC02","Refresco Cola Clasico","1964386641","Bebidas","2029-06-03","Café Rey","83.08","51","Disponible"
"SUC02","Arroz Blanco Light","1590985753","Granos","2028-01-24","Tío Pelón","75.29","425","Disponible"
"SUC02","Frijoles Negros Familiar 1","1340272119","Granos","2026-04-03","La Mejor","67.7","428","Agotado"
"SUC02","Lentejas Bio 1","8628603366","Granos","2025-09-06","Unilever","63.22","63","Agotado"
"SUC02","Maiz Amarillo Plus 1","2963288053","Granos","2028-03-20","Kern's","32.16","464","Disponible"
"SUC02","Avena Mini","3469810046","Granos","2027-10-28","Rica","181.04","150","Disponible"
"SUC02","Pollo Entero Extra","7745949301","Carnes","2025-11-23","La Mejor","50.89","343","Disponible"
"SUC02","Carne Molida Bio 1","5382302465","Carnes","2028-12-23","Pepsi","218.97","23","Disponible"
"SUC02","Salchicha Natural 1","4209700340","Carnes","2027-05-08","Unilever","92.49","35","Disponible"
"SUC02","Atun en Aceite Plus","2428156550","Conservas","2027-04-25","Nutrileche","15.86","280","Disponible"
"SUC02","Sardinas Familiar","1579187439","Conservas","2027-12-25","Rica","180.43","484","Disponible"
"SUC02","Tomate en Lata Extra 1","5474951950","Conservas","2027-08-25","Nutrileche","233.68","264","Agotado"
"SUC02","Aceite Vegetal Natural","3778416511","Aceites","2029-10-17","Rica","75.1","442","Disponible"
"SUC02","Aceite de Oliva Natural","6875597607","Aceites","2027-11-18","Siembra","222.92","381","Agotado"
"SUC02","Mantequilla Clasico","5182110973","Lacteos","2027-06-23","Siembra","126.57","255","Disponible"
"SUC02","Margarina Bio","8417757797","Lacteos","2026-06-05","La Mejor","24.34","309","Disponible"
"SUC02","Shampoo Clasico","1440654676","Higiene","2027-02-18","Del Monte","85.34","152","Agotado"
"SUC02","Acondicionador Light","8257484586","Higiene","2029-06-28","Nutrileche","91.13","22","Disponible"
"SUC02","Jabon Liquido Plus","9581991473","Higiene","2025-09-26","Dos Pinos","72.27","406","Agotado"
"SUC02","Pasta Dental Clasico 1","1133747952","Higiene","2029-10-18","Del Monte","212.92","348","Disponible"
"SUC02","Desodorante Light 1","1288765093","Higiene","2027-06-12","Pepsi","195.74","188","Disponible"
"SUC02","Detergente Liquido Plus","6888247736","Limpieza","2028-08-19","Nestle","113.77","40","Disponible"
"SUC02","Suavizante Premium 1","2196963451","Limpieza","2029-07-16","Nestle","240.33","14","Agotado"
"SUC02","Cloro Mini","3412365931","Limpieza","2029-05-12","Del Monte","69.14","134","Disponible"
"SUC02","Escoba Plus","3109688769","Hogar","2025-10-30","Del Monte","35.05","437","Disponible"
"SUC02","Trapeador Familiar 2","5283209430","Hogar","2027-03-17","Café Rey","203.58","496","Disponible"
"SUC02","Pan Molde Bio","1963110410","Panaderia","2026-03-12","Unilever","246.36","406","Agotado"
"SUC02","Tortillas","7752880042","Panaderia","2026-02-21","Kern's","119.51","283","Disponible"
"SUC02","Pan Frances Bio","6623360831","Panaderia","2028-02-06","La Mejor","249.9","369","Agotado"
"SUC02","Espagueti Premium 1","1316756902","Pastas","2025-10-30","Del Monte","243.23","329","Agotado"
"SUC02","Macarrones Mini","2479679716","Pastas","2028-07-04","Café Rey","220.1","400","Disponible"
"SUC02","Papas Fritas Light","5952163720","Snacks","2029-05-23","Unilever","45.34","166","Disponible"
"SUC02","Galletas Saladas Mini 1","9138644862","Snacks","2026-07-08","Café Rey","212.25","129","Disponible"
"SUC02","Chocolate Light","7979417888","Snacks","2028-03-26","Café Rey","155.53","48","Disponible"
"SUC02","Sal Plus","1662259333","Condimentos","2028-10-22","Coca-Cola","166.39","369","Disponible"
"SUC02","Azucar","1348849508","Condimentos","2028-08-25","Colgate","237.39","395","Disponible"
"SUC02","Pimienta Plus","3744446292","Condimentos","2028-06-22","Colgate","127.02","322","Disponible"
"SUC02","Oregano Familiar","7039121410","Condimentos","2025-10-01","Nestle","116.12","353","Agotado"
"SUC02","Salsa de Tomate Premium","7374810067","Condimentos","2026-03-22","Coca-Cola","54.99","311","Disponible"
"SUC02","Pizza Congelada Clasico","9484167278","Congelados","2028-04-20","La Mejor","37.04","190","Disponible"
"SUC02","Helado Vainilla Clasico","6333223513","Congelados","2026-10-21","Nestle","35.02","231","Disponible"
"SUC02","Leche Entera","7937993287","Lacteos","2026-04-24","Nutrileche","65.83","444","Disponible"
"SUC02","Leche Descremada Plus","8392190335","Lacteos","2028-03-17","La Mejor","51.51","82","Agotado"
"SUC02","Queso Fresco Familiar 1","9070568519","Lacteos","2027-08-15","La Mejor","126.86","47","Agotado"
"SUC02","Yogurt Natural Extra 1","2515672889","Lacteos","2028-10-06","Siembra","17.38","254","Agotado"
"SUC02","Crema Fresca Natural 1","3305069227","Lacteos","2026-03-02","Siembra","212.56","221","Disponible"
"SUC02","Cafe Molido Clasico 1","8575707116","Bebidas","2025-09-13","Kern's","94.65","206","Disponible"
"SUC02","Cafe Instantaneo Clasico 1","7671041685","Bebidas","2027-12-10","Miguelito","23.02","259","Disponible"
"SUC02","Jugo de Naranja Plus","1510289448","Bebidas","2027-07-05","Miguelito","243.9","202","Disponible"
"SUC02","Agua Pura Mini","9327720702","Bebidas","2028-10-16","La Mejor","189.97","102","Agotado"
"SUC02","Refresco Cola Mini","1172893522","Bebidas","2027-04-14","Miguelito","14.53","366","Agotado"
"SUC02","Arroz Blanco Mini","2962750929","Granos","2026-03-14","Coca-Cola","153.53","264","Disponible"
"SUC02","Frijoles Negros Light 1","8913915028","Granos","2028-04-09","La Mejor","150.46","260","Agotado"
"SUC02","Lentejas Plus","6582557981","Granos","2027-04-10","Café Rey","204.86","189","Disponible"
"SUC02","Maiz Amarillo Premium","7801948900","Granos","2029-04-10","Café Rey","200.2","372","Disponible"
"SUC02","Avena Plus","7333316743","Granos","2029-10-07","Kern's","241.93","401","Disponible"
"SUC02","Pollo Entero","7801180691","Carnes","2029-06-16","Kern's","46.78","323","Agotado"
"SUC02","Carne Molida Light 1","2040226318","Carnes","2026-01-12","Unilever","145.28","359","Disponible"
